Combination,Modularized Accuracy,Trained Model Accuracy,Accuracy Delta,Update Time,Scratch Time,Modular Eval Time
(emnist:4-6-45-)(fmnist:2-4-9-)(kmnist:0-1-2-3-4-6-7-8-9-)(mnist:0-1-4-5-7-),0.6302952055272524,0.968211319701305,-0.33791611417405265,N/A,304.88910484313965,0.0010848251421708306
(emnist:24-61-)(fmnist:4-)(kmnist:2-7-)(mnist:0-),0.47746593688133226,0.9928962385000583,-0.515430301618726,N/A,76.23128318786621,0.0003671709700153831
(emnist:0-2-6-23-26-31-32-37-38-41-44-46-50-51-55-59-)(kmnist:0-1-2-3-6-7-8-9-),0.32335160972866583,0.9587515816111345,-0.6353999718824687,N/A,410.29026103019714,0.001321138706150964
(emnist:2-22-23-29-31-53-)(fmnist:8-)(kmnist:0-2-8-)(mnist:0-1-2-3-4-5-7-8-9-),0.5094746397367526,0.9843791368811226,-0.47490449714437,N/A,245.36280798912048,0.0008714063349999793
(emnist:0-2-3-4-5-6-8-11-12-13-14-15-16-17-21-22-24-25-26-27-28-30-33-34-35-37-38-39-40-41-43-44-45-46-47-48-50-51-53-56-57-58-60-61-)(fmnist:0-1-2-4-6-7-8-9-)(kmnist:0-1-2-3-5-6-7-8-9-)(mnist:0-1-2-4-5-6-7-8-9-),0.2604599871031653,0.8943581021092867,-0.6338981150061214,N/A,923.080087184906,0.0027958342009933917
(emnist:17-42-48-54-)(mnist:1-3-6-8-9-),0.7458080879244752,0.9888685360011272,-0.24306044807665206,N/A,52.81242609024048,0.00044825800341654113
(emnist:1-2-3-4-5-7-8-9-10-11-12-15-16-17-20-21-23-24-25-26-28-29-33-35-36-40-41-43-48-50-51-53-56-58-59-60-)(kmnist:6-),0.7629494889499344,0.954364342811889,-0.19141485386195456,N/A,680.2037732601166,0.0014026747351249514
(fmnist:0-1-2-3-4-5-6-7-8-9-)(kmnist:0-1-3-4-5-6-7-9-),0.8245555555555556,0.9108333333333334,-0.08627777777777779,N/A,251.88505172729492,0.0010604015588760376
(emnist:1-)(fmnist:3-)(kmnist:0-4-7-8-)(mnist:2-),0.7742274712829639,0.9862481799061641,-0.21202070862320022,N/A,53.70718288421631,0.0005131376115582633
(emnist:0-1-3-4-5-6-9-10-11-12-15-16-17-18-19-20-21-23-24-25-26-27-28-29-30-31-32-33-34-35-36-38-39-40-42-43-44-45-46-47-48-49-50-53-54-55-56-57-58-59-60-61-)(fmnist:1-5-8-)(kmnist:1-4-5-6-)(mnist:0-1-2-3-4-5-6-8-9-),0.20331222066847632,0.8684434208000877,-0.6651312001316114,N/A,1126.2525770664215,0.002574465418258965
(emnist:3-8-10-12-18-21-23-24-25-29-30-38-43-48-49-52-60-)(fmnist:2-5-6-7-9-)(kmnist:1-2-3-4-5-6-7-8-9-)(mnist:1-3-6-9-),0.3728192260947975,0.9540910338338495,-0.581271807739052,N/A,339.0844669342041,0.001703482590779033
(emnist:0-13-19-26-35-39-44-46-48-56-58-)(fmnist:3-6-)(kmnist:0-1-4-5-6-8-9-),0.5007838852202005,0.9619934438690674,-0.4612095586488669,N/A,165.41943287849426,0.0010456714365532054
(emnist:0-1-2-3-4-5-6-7-8-9-10-11-15-16-18-20-21-22-23-24-26-27-28-29-30-31-33-34-35-36-37-38-40-41-42-43-44-45-46-47-48-49-50-51-54-55-56-57-58-59-61-)(kmnist:1-2-4-5-8-9-)(mnist:4-7-),0.32628077178975384,0.8715812818806831,-0.5453005100909292,N/A,608.4953110218048,0.002403626451473274
(emnist:2-5-13-14-17-20-22-24-27-28-30-31-33-37-38-42-43-47-53-54-56-58-)(fmnist:2-3-6-7-)(kmnist:2-3-4-8-9-)(mnist:3-7-8-),0.3333195552432522,0.9422353573347663,-0.6089158020915141,N/A,617.9779078960419,0.001483495946076924
(emnist:4-5-7-19-20-38-42-46-49-51-52-60-)(fmnist:0-1-2-3-5-6-7-8-9-),0.48488684918499764,0.9518594714353537,-0.466972622250356,N/A,319.5645718574524,0.0007918427650414232
(emnist:2-3-4-5-7-9-15-16-20-22-24-25-27-28-31-32-33-37-39-40-42-43-46-49-54-55-56-57-59-60-61-)(mnist:5-6-9-),0.6440038448847252,0.9502173507596516,-0.30621350587492646,N/A,674.3515129089355,0.0012274093628476966
(fmnist:0-9-)(kmnist:0-3-4-5-)(mnist:1-2-5-7-),0.9655001487062556,0.9843362744126103,-0.018836125706354734,N/A,85.28335809707642,0.0006321256290971671
(emnist:11-12-16-18-21-29-36-37-44-47-50-51-54-55-)(fmnist:3-6-)(kmnist:0-1-2-3-4-6-9-),0.3753803489581327,0.9021684705157339,-0.5267881215576011,N/A,165.4675121307373,0.001192549465755255
