Combination ID,Modularized Accuracy,Precision,Recall,F1,AUC,Inference Time
23,0.335956918,0.6337144689,0.2810410218,0.2972681262,0.6343030274,0.0001303027393
24,0.8125,0.7656972902,0.9068627451,0.8014963084,0.9160297977,0.0003434958165
25,0.1882192611,0.2353975772,0.2794494011,0.1496386712,0.6349132069,0.0001358340645
26,0.403256705,0.5045090154,0.3869532141,0.2803763833,0.6829299029,0.0001525019722
27,0.1535290237,0.4777548753,0.2219273608,0.1485505144,0.6049534148,0.0001385590374
28,0.2061263561,0.4553472963,0.2702905036,0.1788802929,0.6282286393,0.0001338671931
29,0.9196428571,0.9366101912,0.88,0.8911020828,0.9296912972,0.0004022183163
30,0.9758551308,0.9762842318,0.9760768307,0.975822091,0.986696877,0.0002232752575
31,0.9791666667,0.9795299145,0.9798367347,0.9793548432,0.9873138368,0.0008883688847
32,0.3553766532,0.663546059,0.4402149336,0.3907092463,0.7062778748,0.0001899997736
33,0.752854512,0.8101637618,0.6584389987,0.696764834,0.8259732916,0.0001580770391
34,0.4446119066,0.8541230109,0.44127204,0.5111642639,0.7139339224,0.0001517785305
35,0.1590291614,0.2990283219,0.1987258178,0.1177706198,0.593213533,0.000138168381
36,0.2556189198,0.6489313795,0.2468550174,0.2524234421,0.6175622921,0.0001257864758
37,0.9276923077,0.9321479864,0.9276923077,0.9280419498,0.9608333333,0.0002195918913
38,0.3597902098,0.3633169678,0.4672548089,0.3191452997,0.724577192,0.0001560920579
39,0.1876945176,0.6305472151,0.230111681,0.1968486021,0.6068350348,0.000146887779
40,0.2929598789,0.3979986336,0.3451895753,0.2124100429,0.6635887947,0.0001586172163
41,0.5837049047,0.7211057191,0.4733510057,0.5068081133,0.7329609788,0.0001274231189
42,0.7453625632,0.7520651294,0.6482539185,0.6375310241,0.808603328,0.0002378327851
43,0.3694384781,0.7407419896,0.3791898609,0.4121014566,0.6813775808,0.0001678081672
44,0.9207419899,0.9291350997,0.9199368687,0.921356304,0.9563629058,0.0002400398656
45,0.2536993352,0.3842581839,0.3561757056,0.2120567417,0.6716951383,0.0001361356455
46,0.2222222222,0.4571152472,0.2809375984,0.1666033508,0.6300577966,0.0001641363954
47,0.9164835165,0.9190540797,0.9155555556,0.9151874835,0.9525654601,0.0002547212864
48,0.4566326531,0.5020316369,0.5528330017,0.4408931619,0.76712327,0.0001804917726
49,0.2370306678,0.6234973928,0.280364371,0.2515098464,0.6305051821,0.0001629474222
50,0.1525423729,0.2961711592,0.2210342881,0.130761436,0.6051127268,0.0001321367911
51,0.2550251256,0.3674675842,0.3063983981,0.1779281635,0.6464768746,0.0001297313635
52,0.9466666667,0.9479566232,0.9466666667,0.94687177,0.968,0.000318141116
53,0.7577160494,0.8524540955,0.9042663067,0.838798737,0.939005614,0.0002463791473
54,0.1933968977,0.2335225324,0.2845307217,0.1756751578,0.6377521853,0.0001340139855
55,0.9549689441,0.9630754452,0.9549838257,0.9550513369,0.9756117521,0.0003168304685
56,0.87,0.8703401659,0.87,0.868681151,0.9133333333,0.0005091300607
57,0.7982832618,0.8468599791,0.8591860465,0.8147385445,0.8975222494,0.0004244638615
