Serial,DeepCompose Accuracy,Static Composition Accuracy,Module Stacking Accuracy,Train-from-scratch Accuracy,DeepCompose Training Time,Module Stacking Training Time,Train-from-scratch Training Time,#Dataset,#Modules,#MNIST,#EMNIST,#FMNIST,#KMNIST,Combination
32,95.32,49.85,92.89,94.23,1536.28,42644.68,3735.75,4,20,5,3,3,9,(emnist:4-6-45-)(fmnist:2-4-9-)(kmnist:0-1-2-3-4-6-7-8-9-)(mnist:0-1-4-5-7-)
33,97.18,42.6,86.72,98.38,559.49,1754.59,1339.06,4,6,1,2,1,2,(emnist:24-61-)(fmnist:4-)(kmnist:2-7-)(mnist:0-)
34,92.36,20.82,91.9,92.73,1627.3,20010.54,5332.93,2,24,0,16,0,8,(emnist:0-2-6-23-26-31-32-37-38-41-44-46-50-51-55-59-)(kmnist:0-1-2-3-6-7-8-9-)
35,97.66,45.28,94.61,97.46,1787.66,17508.27,6278.48,4,19,9,6,1,3,(emnist:2-22-23-29-31-53-)(fmnist:8-)(kmnist:0-2-8-)(mnist:0-1-2-3-4-5-7-8-9-)
36,86.05,18.62,83.56,83.84,4354.88,104549.59,16978.88,4,70,9,44,8,9,(emnist:0-2-3-4-5-6-8-11-12-13-14-15-16-17-21-22-24-25-26-27-28-30-33-34-35-37-38-39-40-41-43-44-45-46-47-48-50-51-53-56-57-58-60-61-)(fmnist:0-1-2-4-6-7-8-9-)(kmnist:0-1-2-3-5-6-7-8-9-)(mnist:0-1-2-4-5-6-7-8-9-)
37,98.48,71.09,96.82,97.97,826.59,2637.98,1489.86,2,9,5,4,0,0,(emnist:17-42-48-54-)(mnist:1-3-6-8-9-)
38,91.61,56.23,91.02,91.91,2740.66,37934.49,9848.9,2,37,0,36,0,1,(emnist:1-2-3-4-5-7-8-9-10-11-12-15-16-17-20-21-23-24-25-26-28-29-33-35-36-40-41-43-48-50-51-53-56-58-59-60-)(kmnist:6-)
39,88.43,77.82,85.49,86.91,1518.4,8904.48,3153.17,2,18,0,0,10,8,(fmnist:0-1-2-3-4-5-6-7-8-9-)(kmnist:0-1-3-4-5-6-7-9-)
40,97.35,46.51,95.88,97.34,524.0,5960.37,3024.29,4,7,1,1,1,4,(emnist:1-)(fmnist:3-)(kmnist:0-4-7-8-)(mnist:2-)
41,83.29,12.36,80.77,81.94,4714.6,131160.04,15815.17,4,68,9,52,3,4,(emnist:0-1-3-4-5-6-9-10-11-12-15-16-17-18-19-20-21-23-24-25-26-27-28-29-30-31-32-33-34-35-36-38-39-40-42-43-44-45-46-47-48-49-50-53-54-55-56-57-58-59-60-61-)(fmnist:1-5-8-)(kmnist:1-4-5-6-)(mnist:0-1-2-3-4-5-6-8-9-)
42,93.69,28.79,91.71,91.91,2133.48,55532.09,13971.11,4,35,4,17,5,9,(emnist:3-8-10-12-18-21-23-24-25-29-30-38-43-48-49-52-60-)(fmnist:2-5-6-7-9-)(kmnist:1-2-3-4-5-6-7-8-9-)(mnist:1-3-6-9-)
43,93.99,35.01,91.04,93.58,1759.64,17092.11,5249.86,3,20,0,11,2,7,(emnist:0-13-19-26-35-39-44-46-48-56-58-)(fmnist:3-6-)(kmnist:0-1-4-5-6-8-9-)
44,83.32,7.48,81.95,82.15,4699.75,99624.59,9046.19,3,59,2,51,0,6,(emnist:0-1-2-3-4-5-6-7-8-9-10-11-15-16-18-20-21-22-23-24-26-27-28-29-30-31-33-34-35-36-37-38-40-41-42-43-44-45-46-47-48-49-50-51-54-55-56-57-58-59-61-)(kmnist:1-2-4-5-8-9-)(mnist:4-7-)
45,91.56,21.12,89.17,91.26,2145.0,36486.48,9283.66,4,34,3,22,4,5,(emnist:2-5-13-14-17-20-22-24-27-28-30-31-33-37-38-42-43-47-53-54-56-58-)(fmnist:2-3-6-7-)(kmnist:2-3-4-8-9-)(mnist:3-7-8-)
